,日期,期限,到期收益率
0,2022-11-24,0.083,1.3315
1,2022-11-24,0.25,2.0098
2,2022-11-24,0.5,2.0404
3,2022-11-24,0.75,2.0453
4,2022-11-24,1.0,2.0605
5,2022-11-24,1.5,2.1645
6,2022-11-24,2.0,2.2685
7,2022-11-24,2.5,2.3132
8,2022-11-24,3.0,2.3578
9,2022-11-24,3.5,2.4107
10,2022-11-24,4.0,2.4637
11,2022-11-24,4.5,2.5166
12,2022-11-24,5.0,2.5695
13,2022-11-24,5.5,2.6238
14,2022-11-24,6.0,2.6781
15,2022-11-24,6.5,2.7323
16,2022-11-24,7.0,2.7866
17,2022-11-24,7.5,2.7874
18,2022-11-24,8.0,2.7883
19,2022-11-24,8.5,2.7891
20,2022-11-24,9.0,2.7899
21,2022-11-24,9.5,2.7908
22,2022-11-24,10.0,2.7916
23,2022-11-24,10.5,2.8049
24,2022-11-24,11.0,2.8183
25,2022-11-24,11.5,2.8316
26,2022-11-24,12.0,2.8449
27,2022-11-24,12.5,2.8583
28,2022-11-24,13.0,2.8716
29,2022-11-24,13.5,2.8849
30,2022-11-24,14.0,2.8982
31,2022-11-24,14.5,2.9116
32,2022-11-24,15.0,2.9249
33,2022-11-24,15.5,2.9331
34,2022-11-24,16.0,2.9413
35,2022-11-24,16.5,2.9495
36,2022-11-24,17.0,2.9577
37,2022-11-24,17.5,2.9659
38,2022-11-24,18.0,2.974
39,2022-11-24,18.5,2.9822
40,2022-11-24,19.0,2.9904
41,2022-11-24,19.5,2.9986
42,2022-11-24,20.0,3.0068
43,2022-11-24,20.5,3.0153
44,2022-11-24,21.0,3.0237
45,2022-11-24,21.5,3.0322
46,2022-11-24,22.0,3.0406
47,2022-11-24,22.5,3.0491
48,2022-11-24,23.0,3.0575
49,2022-11-24,23.5,3.066
50,2022-11-24,24.0,3.0744
51,2022-11-24,24.5,3.0829
52,2022-11-24,25.0,3.0914
53,2022-11-24,25.5,3.0998
54,2022-11-24,26.0,3.1083
55,2022-11-24,26.5,3.1167
56,2022-11-24,27.0,3.1252
57,2022-11-24,27.5,3.1336
58,2022-11-24,28.0,3.1421
59,2022-11-24,28.5,3.1505
60,2022-11-24,29.0,3.159
61,2022-11-24,29.5,3.1674
62,2022-11-24,30.0,3.1759
63,2022-11-24,30.5,3.1789
64,2022-11-24,31.0,3.1819
65,2022-11-24,31.5,3.1849
66,2022-11-24,32.0,3.1879
67,2022-11-24,32.5,3.1909
68,2022-11-24,33.0,3.1939
69,2022-11-24,33.5,3.1969
70,2022-11-24,34.0,3.1999
71,2022-11-24,34.5,3.2029
72,2022-11-24,35.0,3.2059
73,2022-11-24,35.5,3.2088
74,2022-11-24,36.0,3.2118
75,2022-11-24,36.5,3.2148
76,2022-11-24,37.0,3.2178
77,2022-11-24,37.5,3.2208
78,2022-11-24,38.0,3.2238
79,2022-11-24,38.5,3.2268
80,2022-11-24,39.0,3.2298
81,2022-11-24,39.5,3.2328
82,2022-11-24,40.0,3.2358
83,2022-11-24,40.5,3.238
84,2022-11-24,41.0,3.2402
85,2022-11-24,41.5,3.2424
86,2022-11-24,42.0,3.2446
87,2022-11-24,42.5,3.2469
88,2022-11-24,43.0,3.2491
89,2022-11-24,43.5,3.2513
90,2022-11-24,44.0,3.2535
91,2022-11-24,44.5,3.2557
92,2022-11-24,45.0,3.2579
93,2022-11-24,45.5,3.2601
94,2022-11-24,46.0,3.2623
95,2022-11-24,46.5,3.2645
96,2022-11-24,47.0,3.2667
97,2022-11-24,47.5,3.269
98,2022-11-24,48.0,3.2712
99,2022-11-24,48.5,3.2734
100,2022-11-24,49.0,3.2756
101,2022-11-24,49.5,3.2778
102,2022-11-24,50.0,3.28
